############################################################
################ MySQL queries and results #################
############################################################

SELECT emo_emoji, emo_name, emp_count FROM emoji JOIN emoji_project ON emo_id=emp_emoid JOIN project ON emp_proid=pro_id WHERE pro_name='poly' ORDER BY emp_count DESC LIMIT 50;
+-----------+--------------------------------+-----------+
| emo_emoji | emo_name                       | emp_count |
+-----------+--------------------------------+-----------+
| 😂         | face with tears of joy         |      1173 |
| 🇺🇸        | flag: United States            |       751 |
| 🤣         | rolling on the floor laughing  |       529 |
| 😭         | loudly crying face             |       458 |
| ❤️        | red heart                      |       357 |
| 🔥         | fire                           |       254 |
| 🤔         | thinking face                  |       233 |
| ✨         | sparkles                       |       200 |
| 😍         | smiling face with heart-eyes   |       196 |
| 🚨         | police car light               |       181 |
| 🥰         | smiling face with hearts       |       165 |
| 🙄         | face with rolling eyes         |       150 |
| 👀         | eyes                           |       141 |
| 💕         | two hearts                     |       136 |
| 🥺         | pleading face                  |       134 |
| 👇         | backhand index pointing down   |       126 |
| 💙         | blue heart                     |       122 |
| 😁         | beaming face with smiling eyes |       121 |
| 🙏         | folded hands                   |       118 |
| ❤         | red heart                      |       114 |
| 👍         | thumbs up                      |       108 |
| 😳         | flushed face                   |       108 |
| 👏         | clapping hands                 |       106 |
| 💯         | hundred points                 |       103 |
| 😷         | face with medical mask         |        99 |
| 💖         | sparkling heart                |        96 |
| 😅         | grinning face with sweat       |        93 |
| 💥         | collision                      |        93 |
| ‼️        | double exclamation mark        |        92 |
| 💜         | purple heart                   |        92 |
| 😌         | relieved face                  |        92 |
| 😊         | smiling face with smiling eyes |        91 |
| ✅         | check mark button              |        91 |
| 🥴         | woozy face                     |        87 |
| 😎         | smiling face with sunglasses   |        86 |
| 📷         | camera                         |        84 |
| ➡️        | right arrow                    |        79 |
| 😡         | pouting face                   |        78 |
| 👉         | backhand index pointing right  |        78 |
| 😉         | winking face                   |        77 |
| 🖤         | black heart                    |        75 |
| 😘         | face blowing a kiss            |        75 |
| 🗳         | ballot box with ballot         |        71 |
| 💀         | skull                          |        70 |
| 😔         | pensive face                   |        62 |
| ⛵         | sailboat                       |        59 |
| 🙃         | upside-down face               |        56 |
| 🤡         | clown face                     |        56 |
| 🤩         | star-struck                    |        54 |
| 🤬         | face with symbols on mouth     |        54 |
+-----------+--------------------------------+-----------+
50 rows in set (0,047 sec)


SELECT emo_emoji, emo_name, emp_count FROM emoji JOIN emoji_project ON emo_id=emp_emoid JOIN project ON emp_proid=pro_id WHERE pro_name='metoo' ORDER BY emp_count DESC LIMIT 50;
+-----------+----------------------------------------+-----------+
| emo_emoji | emo_name                               | emp_count |
+-----------+----------------------------------------+-----------+
| 😂         | face with tears of joy                 |       596 |
| ❤️        | red heart                              |       252 |
| 👏         | clapping hands                         |       213 |
| 🤔         | thinking face                          |       204 |
| 🙄         | face with rolling eyes                 |       166 |
| 🔥         | fire                                   |       157 |
| 👍         | thumbs up                              |       108 |
| ❤         | red heart                              |       106 |
| 👇         | backhand index pointing down           |       104 |
| 😡         | pouting face                           |       100 |
| 🤣         | rolling on the floor laughing          |       100 |
| 💜         | purple heart                           |        95 |
| 😭         | loudly crying face                     |        90 |
| 💕         | two hearts                             |        89 |
| 😉         | winking face                           |        83 |
