###############################################
Prominent emojis
###############################################


###############################################
POLY
###############################################
http://localhost/distance.php?index=poly

n	id	emoji	name	closeness
1	29	🇺🇸	flag: United States	0.55057
2	11	❤️	red heart	0.54720
3	9	😂	face with tears of joy	0.53277
4	49	🔥	fire	0.53141
5	26	🤣	rolling on the floor laughing	0.51019
6	114	💕	two hearts	0.50606
7	13	😎	smiling face with sunglasses	0.50525
8	38	👍	thumbs up	0.50525
9	36	🥰	smiling face with hearts	0.50362
10	57	💯	hundred points	0.50362
11	17	✨	sparkles	0.49565
12	12	💙	blue heart	0.49447
13	56	💖	sparkling heart	0.48678
14	74	😍	smiling face with heart-eyes	0.48602
15	159	🖤	black heart	0.48490
16	18	😊	smiling face with smiling eyes	0.48340
17	199	😘	face blowing a kiss	0.48228
18	19	🤩	star-struck	0.47969
19	10	❤	red heart	0.47896
20	68	🙏	folded hands	0.47859
21	8	😭	loudly crying face	0.47786
22	95	🌊	water wave	0.47352
23	233	💞	revolving hearts	0.46997
24	166	💛	yellow heart	0.46577
25	103	💜	purple heart	0.46474
26	136	😳	flushed face	0.46233
27	39	♥️	heart suit	0.45996
28	65	😁	beaming face with smiling eyes	0.45827
29	215	💀	skull	0.45827
30	349	✌️	victory hand	0.45760
31	94	🗳	ballot box with ballot	0.45693
32	111	💥	collision	0.45627
33	218	👏	clapping hands	0.45231
34	597	🧨	firecracker	0.45004
35	22	🤔	thinking face	0.45004
36	505	🌿	herb	0.44971
37	92	🙌	raising hands	0.44907
38	63	🥺	pleading face	0.44587
39	73	🙏🏼	folded hands: medium-light skin tone	0.44492
40	237	😜	winking face with tongue	0.44429
41	55	🤗	hugging face	0.44366
42	117	👍🏻	thumbs up: light skin tone	0.44303
43	365	😩	weary face	0.44272
44	15	👀	eyes	0.44272
45	61	🌺	hibiscus	0.44209
46	14	😷	face with medical mask	0.44178
47	268	⚡	high voltage	0.44147
48	173	💚	green heart	0.44116
49	423	🧡	orange heart	0.43930
50	275	🥳	partying face	0.43746

###############################################
POLIAMORY
###############################################
http://localhost/distance.php?index=poliamory

n	id	emoji	name	closeness
1	9	😂	face with tears of joy	0.51423
2	11	❤️	red heart	0.50909
3	29	🇺🇸	flag: United States	0.50771
4	49	🔥	fire	0.49734
5	57	💯	hundred points	0.48359
6	36	🥰	smiling face with hearts	0.48193
7	114	💕	two hearts	0.47741
8	56	💖	sparkling heart	0.47417
9	12	💙	blue heart	0.47098
10	8	😭	loudly crying face	0.46784
11	17	✨	sparkles	0.46745
12	13	😎	smiling face with sunglasses	0.46667
13	74	😍	smiling face with heart-eyes	0.46091
14	159	🖤	black heart	0.45566
15	38	👍	thumbs up	0.45455
16	10	❤	red heart	0.45418
17	68	🙏	folded hands	0.45307
18	103	💜	purple heart	0.45125
19	19	🤩	star-struck	0.44872
20	199	😘	face blowing a kiss	0.44800
21	95	🌊	water wave	0.44657
22	26	🤣	rolling on the floor laughing	0.44060
23	92	🙌	raising hands	0.43818
24	215	💀	skull	0.43682
25	166	💛	yellow heart	0.43682
26	18	😊	smiling face with smiling eyes	0.43614
27	136	😳	flushed face	0.43614
28	505	🌿	herb	0.43344
29	349	✌️	victory hand	0.42846
30	65	😁	beaming face with smiling eyes	0.42813
31	14	😷	face with medical mask	0.42586
32	22	🤔	thinking face	0.42328
33	268	⚡	high voltage	0.42296
34	597	🧨	firecracker	0.42296
35	173	💚	green heart	0.41948
36	237	😜	winking face with tongue	0.41948
37	402	💓	beating heart	0.41916
38	76	🙏🏽	folded hands: medium skin tone	0.41791
39	55	🤗	hugging face	0.41760
40	243	🎶	musical notes	0.41698
41	34	😋	face savoring food	0.41667
42	233	💞	revolving hearts	0.41512
43	269	❄️	snowflake	0.41390
44	423	🧡	orange heart	0.41359
45	63	🥺	pleading face	0.41359
46	90	😉	winking face	0.41359
47	275	🥳	partying face	0.41176
48	94	🗳	ballot box with ballot	0.41086
49	46	😅	grinning face with sweat	0.41026
50	121	📚	books	0.40996

###############################################
METOO
###############################################
http://localhost/distance.php?index=metoo

n	id	emoji	name	closeness
1	38	👍	thumbs up	0.50425
2	11	❤️	red heart	0.49376
3	114	💕	two hearts	0.46614
4	9	😂	face with tears of joy	0.46477
5	214	💪	flexed biceps	0.46477
6	49	🔥	fire	0.46027
7	218	👏	clapping hands	0.45983
8	17	✨	sparkles	0.45368
9	8	😭	loudly crying face	0.44896
10	29	🇺🇸	flag: United States	0.44268
11	68	🙏	folded hands	0.44145
12	144	👌	OK hand	0.44145
13	150	😱	face screaming in fear	0.44104
14	56	💖	sparkling heart	0.43738
15	221	✊	raised fist	0.43578
16	103	💜	purple heart	0.43025
17	57	💯	hundred points	0.42986
18	100	💋	kiss mark	0.42716
19	339	💗	growing heart	0.42677
20	10	❤	red heart	0.42639
21	429	😇	smiling face with halo	0.42639
22	22	🤔	thinking face	0.42525
23	407	💪🏻	flexed biceps: light skin tone	0.42110
24	54	🙄	face with rolling eyes	0.42035
25	470	🌹	rose	0.41924
26	92	🙌	raising hands	0.41887
27	74	😍	smiling face with heart-eyes	0.41594
28	26	🤣	rolling on the floor laughing	0.41557
29	530	🙌🏾	raising hands: medium-dark skin tone	0.41412
30	78	😈	smiling face with horns	0.41268
31	199	😘	face blowing a kiss	0.41233
32	216	💔	broken heart	0.41197
33	136	😳	flushed face	0.41019
34	234	😢	crying face	0.41019
35	111	💥	collision	0.40984
36	23	😡	pouting face	0.40948
37	287	💪🏾	flexed biceps: medium-dark skin tone	0.40948
38	76	🙏🏽	folded hands: medium skin tone	0.40878
39	90	😉	winking face	0.40808
40	159	🖤	black heart	0.40633
41	364	😆	grinning squinting face	0.40529
42	225	💪🏽	flexed biceps: medium skin tone	0.40152
43	343	☺	smiling face	0.40118
44	243	🎶	musical notes	0.39916
45	13	😎	smiling face with sunglasses	0.39816
46	173	💚	green heart	0.39749
47	12	💙	blue heart	0.39683
48	208	✌	victory hand	0.39583
49	1105	💑	couple with heart	0.39485
50	432	🙈	see-no-evil monkey	0.39386

###############################################
CLIMATE
###############################################
http://localhost/distance.php?index=climate

n	id	emoji	name	closeness
1	594	🌎	globe showing Americas	0.78653
2	511	🌍	globe showing Europe-Africa	0.77242
